Unnamed: 0.1,Unnamed: 0,restaurant_name,restaurant_type,rating,num_ratings,avg_cost_two_people,online_order,table_booking,cuisines_type,area,local_address,rating_category
1336,1336,Chatori Gali,Casual Dining,2.9,51,600.0,no,no,"North Indian, Street Food",Bannerghatta Road,Jp Nagar,Average Rated
1337,1337,Chatori Tongue,Quick Bites,3.9,65,100.0,yes,no,Street Food,Sarjapur Road,Sarjapur Road,Average Rated
1338,1338,Chatorr,Quick Bites,2.9,78,400.0,no,no,"Fast Food, Street Food",Bellandur,Bellandur,Average Rated
1339,1339,Chatpata,Food Court,3.2,4,500.0,no,no,Street Food,Brookefield,Brookefield,Average Rated
1340,1340,Chatpata Chaat Station,Quick Bites,3.5,19,500.0,no,no,"North Indian, Street Food, Chinese",Marathahalli,Marathahalli,Average Rated
1341,1341,Chatpata India,Food Court,3.9,40,400.0,yes,no,North Indian,Brookefield,Whitefield,Average Rated
1342,1342,Chatpatlal Sweets & Snacks,"Quick Bites, Sweet Shop",4.1,342,200.0,yes,no,"Street Food, Mithai, North Indian, Beverages, Desserts",Whitefield,Marathahalli,Highly Rated
1343,1343,Chats Point,Quick Bites,3.4,8,150.0,yes,no,"Fast Food, Street Food",Banashankari,Basavanagudi,Average Rated
1344,1344,Chattar Mattar,Quick Bites,3.5,11,150.0,no,no,"North Indian, Chinese",Hsr,Hsr,Average Rated
1345,1345,Chatter Platter,Quick Bites,3.4,29,300.0,yes,no,"Street Food, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
1346,1346,Chattorey - The Family Restaurant,Casual Dining,3.4,37,400.0,no,no,"North Indian, Chinese",Brookefield,Marathahalli,Average Rated
1347,1347,Chavadi,"Casual Dining, Bar",4.4,2233,1200.0,yes,yes,"Continental, North Indian, Pizza, Italian",Bannerghatta Road,Bannerghatta Road,Highly Rated
1348,1348,Chawla'S 2 Online.Com,Delivery,3.5,5,800.0,yes,no,North Indian,Bannerghatta Road,Jp Nagar,Average Rated
1349,1349,Checkered Bar - Mgm Mark,Lounge,3.6,19,1300.0,no,no,"North Indian, Continental, Chinese",Brookefield,Whitefield,Average Rated
1350,1350,Checkpost,Casual Dining,4.0,960,600.0,yes,no,"South Indian, Seafood, North Indian, Beverages",Jayanagar,Jp Nagar,Highly Rated
1351,1351,Cheers Life,Kiosk,3.4,4,300.0,no,no,"Beverages, Juices",Whitefield,"Varthur Main Road, Whitefield",Average Rated
1352,1352,Cheers Pub Bar & Restro,"Pub, Bar",2.8,40,1100.0,no,yes,"Continental, Finger Food, Pizza, North Indian, Bar Food",Koramangala 4Th Block,Koramangala 4Th Block,Average Rated
1353,1353,Cheesecake Alley,Bakery,3.1,8,400.0,no,no,"Bakery, Desserts",Hsr,Hsr,Average Rated
1354,1354,Cheesiano Pizza,Quick Bites,4.0,199,700.0,yes,yes,"Pizza, Italian",Bannerghatta Road,Jp Nagar,Highly Rated
1355,1355,Cheesy Juicy Burgers,Quick Bites,3.8,18,500.0,yes,no,"Burger, Fast Food",Hsr,Hsr,Average Rated
1356,1356,Chef & Dine,Casual Dining,3.2,57,650.0,yes,no,"North Indian, Arabian, Fast Food",Bannerghatta Road,Bannerghatta Road,Average Rated
1357,1357,Chef Baker'S,Bakery,2.9,36,600.0,yes,no,"Bakery, Fast Food, Pizza, Burger, Cafe",Kalyan Nagar,Nagawara,Average Rated
1358,1358,Chef Delicacies,"Takeaway, Delivery",2.7,6,400.0,yes,no,"Kebab, Rolls, Charcoal Chicken",Brookefield,"Varthur Main Road, Whitefield",Average Rated
1359,1359,Chef Fast Food,Quick Bites,3.1,26,300.0,yes,no,"Fast Food, North Indian, South Indian",Indiranagar,Old Airport Road,Average Rated
1360,1360,Chef Genie,Delivery,2.8,40,500.0,yes,no,"Biryani, Fast Food","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
1361,1361,Chef In,Casual Dining,3.6,198,500.0,no,no,"Biryani, North Indian, Chinese",Marathahalli,Brookefield,Average Rated
1362,1362,Chef Inn Regency,"Casual Dining, Bar",3.3,4,,no,no,"North Indian, Chinese, Andhra, Mangalorean",Old Airport Road,Domlur,Average Rated
1363,1363,Chef Kitchen,Quick Bites,3.7,19,200.0,yes,no,"North Indian, Biryani, Charcoal Chicken",New Bel Road,New Bel Road,Average Rated
1364,1364,Chef Master,Quick Bites,3.8,75,300.0,yes,no,"Kerala, North Indian, Chinese",Basavanagudi,Jayanagar,Average Rated
1365,1365,Chefactory Gold By Flechazo,Casual Dining,3.7,353,700.0,yes,no,"North Indian, Biryani",Brookefield,Whitefield,Average Rated
1366,1366,Chefeana,Quick Bites,4.0,212,400.0,yes,no,North Indian,Bannerghatta Road,Bannerghatta Road,Highly Rated
1367,1367,Chefie,Quick Bites,3.8,37,200.0,yes,no,"Continental, Fast Food, Italian, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Average Rated
1368,1368,Chefkraft,"Takeaway, Delivery",3.9,145,800.0,no,no,"Continental, Fast Food, Salad",Indiranagar,Indiranagar,Average Rated
1369,1369,Chef'S Bank,Casual Dining,3.4,19,700.0,yes,no,"North Indian, Chinese",Malleshwaram,Yeshwantpur,Average Rated
1370,1370,Chef'S Cap Chinese Cuisine Restaurant,Quick Bites,3.9,30,400.0,yes,no,Chinese,Indiranagar,Old Airport Road,Average Rated
1371,1371,Chef'S Gallery,Casual Dining,3.5,95,700.0,no,no,"Chinese, Italian, North Indian",Bellandur,Bellandur,Average Rated
1372,1372,Chellappa'S,Casual Dining,3.2,115,500.0,yes,no,"Chettinad, South Indian, North Indian",Marathahalli,Kaggadasapura,Average Rated
1373,1373,Chels Cafe,Cafe,3.5,20,500.0,yes,no,"Cafe, Burger",Brigade Road,Cunningham Road,Average Rated
1374,1374,Cheta'S Kitchen,Quick Bites,3.9,78,350.0,yes,no,"Kerala, South Indian, Seafood",New Bel Road,Yelahanka,Average Rated
1375,1375,Chettayees,Quick Bites,3.4,147,400.0,yes,no,"Kerala, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
1376,1376,Chettinad Food House,Quick Bites,3.1,7,300.0,no,no,"South Indian, Chettinad, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
1377,1377,Chetty'S Coffee,Quick Bites,3.5,87,150.0,no,no,South Indian,Kalyan Nagar,Kalyan Nagar,Average Rated
1378,1378,Chetty'S Corner,Quick Bites,3.4,26,150.0,yes,no,"Fast Food, Burger",Malleshwaram,Rajajinagar,Average Rated
1379,1379,Chez Mariannick,Casual Dining,4.1,395,1000.0,no,no,"French, Pizza, Bakery",Brookefield,Whitefield,Highly Rated
1380,1380,Chez Nous - Novotel,Lounge,3.9,125,2500.0,no,yes,"European, French, North Indian",Bellandur,Marathahalli,Average Rated
1381,1381,Chianti,Casual Dining,4.4,280,1500.0,no,yes,Italian,Church Street,Mg Road,Highly Rated
1382,1382,Chichaba'S Taj,Casual Dining,3.8,289,600.0,yes,no,"Biryani, North Indian, Mughlai",Kalyan Nagar,Kalyan Nagar,Average Rated
1383,1383,Chick Blast,Quick Bites,3.3,6,400.0,no,no,Fast Food,Electronic City,Electronic City,Average Rated
1384,1384,Chick Inn,Quick Bites,3.8,99,300.0,yes,no,Fast Food,Malleshwaram,Rajajinagar,Average Rated
1385,1385,Chick Inn 24X7,Quick Bites,3.6,86,450.0,no,no,Fast Food,Rajajinagar,Malleshwaram,Average Rated
